"","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatine..132.1...90.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"178","349743.2","36507.17"," 203953.43","16078.836"," 89054.02","426089.3"," 92817.12","  33775.63","1525593.1"," 395687.6","  17924.823"," 76683.790"," 104429.16"," 6720093","113319.53","1344905"," 63077.41","238707.6","108721.945","18141408"," 625097.0","1613650.9","42988555","195143.87"," 85878.66"," 9537700"," 496886.7"," 7704418"," 5610338"," 8727833"," 118709.65"," 9046.936","215821.4","14186.858"," 60219.439"," 976488.4","1037626.8","  42592.15","269514.3","370444.6","139561.41"," 923729.7"," 710426.42","1431979","579223.5","26113.65","460384.47","57065957","2967606.0","32662886"," 329314.1"," 31187.81"," 540561.8","252271.47","226029.94","  185390.772","  28680.844","39610.20","  6677.667","11436701","1183770.6"," 758981.9","1817066.5","3623209.4","  45732.00"," 131631.78"," 69010.087"," 48603.67","36397768","26369283"," 54342.302"," 867617.1"," 71570.27","12773946"," 3229726","1263557","14904168"," 57115.84"," 667543.2","1104681.2","10811.744"," 811425.2"," 96695.685","100176.96","4094303","  51447.23","125174.65"," 286779.7","146990.90","174687.13","10383149","22161389","12498.132"," 66409.28"," 73916.83","165904.78"," 82706.46","19890.480","2328563","29596537.8"," 79534.32","2181806","1716714.3","308850.3"," 2501618.8","4771923.9","2042026","71760851","21891.626","2720681"," 1915101.2","  23841.547","155581.11"
"179","370444.6","31187.81"," 185390.77","12498.132"," 92817.12","395687.6"," 85878.66","  54342.30","2042025.7"," 308850.3","  23841.547"," 33775.632","  76683.79"," 5610338"," 89054.02","1817067"," 60219.44","252271.5"," 71570.274","18141408"," 867617.1"," 976488.4","36397768","146990.90","113319.53"," 8727833"," 329314.1","11436701"," 7704418","12773946"," 100176.96"," 9046.936","215821.4","14186.858"," 28680.844","1104681.2","1183770.6","  48603.67","286779.7","349743.2","118709.65","1037626.8"," 667543.15","1613651","579223.5","26113.65","460384.47","71760851","2720680.7","29596538"," 238707.6"," 51447.23"," 540561.8","203953.43","269514.28","  923729.699","  63077.407","57115.84"," 21891.626","14904168","1263557.0"," 710426.4"," 625097.0","2181805.5","  73916.83","  82706.46","131631.776"," 39610.20","32662886","26369283"," 69010.087"," 811425.2"," 36507.17","10383149"," 2967606","1344905"," 6720093"," 66409.28"," 758981.9","1525593.1"," 6677.667"," 496886.7"," 42592.153","104429.16","4094303","  45732.00","139561.41"," 226029.9","125174.65","155581.11"," 9537700","22161389","10811.744","174687.13"," 79534.32","195143.87"," 96695.68","16078.836","2501619","57065957.3","108721.95","1915101","1431978.9","426089.3"," 4771923.9","3623209.4","2328563","42988555","17924.823","3229726"," 1716714.3","  19890.480","165904.78"
"180","496886.7","28680.84"," 185390.77","14186.858"," 96695.68","540561.8"," 76683.79"," 252271.47","2501618.8"," 625097.0","  16078.836"," 57115.836"," 113319.53"," 7704418","104429.16","1817067"," 39610.20","286779.7"," 71570.274","14904168"," 710426.4","1104681.2","42988555","146990.90","108721.95"," 8727833"," 867617.1","11436701"," 3229726"," 9537700","  60219.44"," 6677.667","329314.1"," 9046.936"," 19890.480"," 976488.4","1263557.0","  51447.23","308850.3","349743.2","226029.94","1037626.8"," 395687.64","1915101","667543.2","36507.17"," 92817.12","71760851","2181805.5","36397768"," 426089.3"," 79534.32"," 370444.6","174687.13","203953.43","  118709.648","  21891.626","54342.30"," 12498.132","18141408","1431978.9"," 811425.2"," 758981.9","1525593.1"," 125174.65","  63077.41"," 48603.666"," 31187.81","32662886","29596538"," 33775.632"," 579223.5"," 66409.28","10383149"," 5610338","1716714"," 6720093"," 82706.46"," 923729.7","1613650.9","10811.744"," 215821.4"," 45732.003"," 73916.83","4094303","  89054.02","139561.41"," 269514.3"," 85878.66","195143.87","12773946","26369283","17924.823","165904.78","100176.96","238707.58"," 69010.09","42592.153","2328563","22161388.9","131631.78","2042026","1183770.6","460384.5"," 3623209.4","4771923.9","2720681","57065957","23841.547","2967606"," 1344904.7","  26113.646","155581.11"
"181","460384.5","39610.20"," 286779.69","10811.744"," 76683.79","370444.6"," 82706.46"," 104429.16","3229726.2"," 811425.2","  12498.132"," 89054.018"," 146990.90"," 7704418","125174.65","2042026"," 51447.23","226029.9"," 69010.087","26369283"," 710426.4","1817066.5","29596538","118709.65","113319.53","10383149","1183770.6","14904168","12773946"," 9537700","  33775.63"," 9046.936","195143.9","28680.844"," 45732.003"," 976488.4"," 426089.3"," 185390.77","203953.4","329314.1","131631.78","1104681.2"," 579223.45","2328563","667543.2","26113.65","100176.96","71760851","2501618.8","32662886"," 238707.6"," 73916.83"," 269514.3","308850.30","252271.47","  496886.703","  42592.153","23841.55"," 14186.858","22161389","1037626.8"," 923729.7"," 867617.1","2967606.0"," 625096.99","  85878.66","108721.945"," 66409.28","36397768","18141408"," 36507.168"," 758981.9"," 31187.81"," 6720093"," 4771924","1613651"," 2181806"," 54342.30"," 540561.8","1263557.0","17924.823"," 349743.2"," 63077.407"," 57115.84","4094303","  71570.27","139561.41"," 174687.1"," 96695.68","155581.11","11436701","42988555"," 6677.667","395687.64"," 79534.32","165904.78"," 92817.12","21891.626","3623209"," 5610338.3"," 60219.44","1716714","1431978.9","215821.4"," 8727833.0","1344904.7","1915101","57065957","16078.836","1525593"," 2720680.7","  19890.480"," 48603.67"
"182","496886.7","26113.65"," 146990.90","14186.858","118709.65","460384.5"," 82706.46"," 426089.28","1431978.9"," 370444.6","  17924.823"," 57115.836"," 174687.13"," 5610338","165904.78","1613651"," 60219.44","203953.4"," 73916.831","18141408"," 758981.9","2042025.7","36397768","185390.77","108721.95","10383149"," 579223.5"," 6720093"," 8727833"," 7704418"," 100176.96"," 9046.936","226029.9","28680.844"," 69010.087"," 976488.4","1716714.3","  39610.20","215821.4","329314.1","238707.58","1104681.2"," 625096.99","1915101","667543.2","21891.63","125174.65","71760851","2967606.0","26369283"," 349743.2"," 45732.00"," 540561.8","269514.28","139561.41","   63077.407","  16078.836","42592.15","  6677.667","22161389","1344904.7","1037626.8"," 710426.4","2328562.6","  51447.23"," 104429.16"," 10811.744"," 48603.67","42988555","29596538"," 36507.168"," 811425.2"," 71570.27","11436701"," 3623209","1817067","12773946"," 76683.79"," 867617.1","1263557.0","12498.132"," 308850.3"," 79534.316"," 89054.02","4094303","  85878.66","113319.53"," 252271.5","131631.78","155581.11"," 9537700","32662886","19890.480","286779.69"," 54342.30","195143.87"," 66409.28","33775.632","3229726","14904167.7"," 96695.68","1525593","1183770.6","395687.6","  923729.7","4771923.9","2501619","57065957","31187.808","2720681"," 2181805.5","  23841.547"," 92817.12"
"184","496886.7","33775.63"," 286779.69","10811.744"," 96695.68","395687.6"," 71570.27"," 165904.78","1431978.9"," 667543.2","  16078.836"," 39610.198"," 131631.78"," 4771924"," 48603.67","1915101"," 36507.17","174687.1"," 54342.302","14904168"," 625097.0","1613650.9","36397768","118709.65","100176.96"," 5610338"," 867617.1","10383149"," 9537700"," 8727833"," 269514.28"," 6677.667","155581.1","17924.823"," 21891.626"," 976488.4","1037626.8","  26113.65","203953.4","370444.6","113319.53"," 923729.7"," 460384.47","1817067","540561.8","28680.84","108721.95","71760851","2501618.8","29596538"," 426089.3"," 76683.79"," 349743.2","226029.94","195143.87","  215821.411"," 104429.164","42592.15"," 31187.808","12773946","1183770.6"," 710426.4"," 811425.2","1716714.3","  66409.28"," 185390.77"," 79534.316"," 60219.44","42988555","22161389"," 85878.656","1344904.7"," 73916.83"," 7704418"," 6720093","1525593","26369283"," 69010.09"," 758981.9","1263557.0","12498.132"," 579223.5"," 45732.003"," 89054.02","3623209","  57115.84","125174.65"," 329314.1","238707.58","146990.90","11436701","32662886"," 9046.936","139561.41"," 51447.23","308850.30"," 63077.41","23841.547","2967606","18141408.4"," 82706.46","2181806","1104681.2","252271.5"," 2720680.7","4094303.2","3229726","57065957","14186.858","2328563"," 2042025.7","  19890.480"," 92817.12"
"186","308850.3","31187.81"," 215821.41","14186.858"," 85878.66","329314.1"," 79534.32"," 155581.11","1344904.7"," 370444.6","  17924.823"," 51447.231"," 174687.13"," 6720093"," 82706.46","1915101"," 42592.15","226029.9","131631.776","12773946"," 625097.0","1525593.1","26369283","146990.90","104429.16"," 5610338"," 426089.3"," 8727833"," 7704418","10383149"," 113319.53","28680.844","203953.4","12498.132"," 45732.003"," 867617.1"," 811425.2","  19890.48","238707.6","286779.7","165904.78"," 976488.4"," 395687.64","2042026","579223.5","23841.55","125174.65","57065957","2181805.5","36397768"," 496886.7"," 66409.28"," 460384.5","269514.28","252271.47"," 1104681.192","  63077.407","36507.17","  6677.667","18141408"," 758981.9"," 710426.4","2720680.7","1817066.5","  57115.84","  73916.83"," 16078.836"," 54342.30","29596538","22161389"," 92817.123","1037626.8"," 39610.20"," 9537700"," 4771924","1613651","14904168"," 71570.27"," 667543.2","1263557.0","10811.744"," 923729.7"," 48603.666"," 69010.09","4094303","  76683.79","139561.41"," 540561.8","195143.87","185390.77","11436701","32662886"," 9046.936","108721.95"," 60219.44","118709.65"," 89054.02","33775.632","2967606","71760851.4"," 96695.68","1716714","1183770.6","349743.2"," 3623209.4","3229726.2","2501619","42988555","21891.626","2328563"," 1431978.9","  26113.646","100176.96"
"187","496886.7","33775.63"," 215821.41","10811.744"," 82706.46","395687.6"," 69010.09"," 540561.79","2181805.5"," 426089.3","  19890.480"," 60219.439"," 269514.28"," 4771924","113319.53","1817067"," 51447.23","203953.4"," 73916.831","12773946"," 710426.4","1263557.0","42988555","146990.90","104429.16"," 8727833"," 579223.5"," 7704418"," 6720093","11436701"," 286779.69","14186.858","195143.9","36507.168"," 23841.547"," 976488.4","1613650.9","  42592.15","226029.9","329314.1","131631.78"," 923729.7"," 349743.15","1716714","667543.2","39610.20","125174.65","71760851","2720680.7","29596538"," 460384.5"," 54342.30"," 370444.6","165904.78","155581.11","   12498.132","   9046.936","48603.67","  6677.667","14904168","1344904.7"," 867617.1","1104681.2","1431978.9"," 238707.58"," 100176.96"," 21891.626"," 45732.00","36397768","22161389"," 57115.836"," 811425.2"," 79534.32"," 9537700"," 3623209","1525593","18141408"," 89054.02"," 758981.9","1183770.6","17924.823"," 625097.0"," 63077.407"," 66409.28","3229726","  71570.27","118709.65"," 308850.3","174687.13","139561.41","10383149","32662886","16078.836"," 85878.66"," 92817.12","185390.77"," 76683.79","31187.808","2328563","26369282.8"," 96695.68","2042026","1037626.8","252271.5"," 5610338.3","4094303.2","2501619","57065957","28680.844","2967606"," 1915101.2","  26113.646","108721.95"
"188","395687.6","39610.20"," 226029.94","12498.132"," 85878.66","349743.2"," 92817.12","1183770.60","1037626.8"," 370444.6","  21891.626"," 79534.316"," 195143.87"," 5610338","131631.78","1716714"," 48603.67","238707.6","108721.945","12773946"," 667543.2","1431978.9","32662886","146990.90","125174.65"," 7704418"," 625097.0"," 8727833","11436701"," 6720093"," 113319.53"," 9046.936","269514.3","19890.480"," 57115.836"," 923729.7","1613650.9","  16078.84","252271.5","308850.3","185390.77"," 976488.4"," 329314.09","2328563","710426.4","23841.55","118709.65","71760851","3229726.2","26369283"," 460384.5"," 66409.28"," 496886.7","215821.41","155581.11","   31187.808","   6677.667","45732.00"," 17924.823","14904168","1263557.0"," 867617.1"," 579223.5","2181805.5","  96695.68","  69010.09"," 63077.407"," 42592.15","36397768","22161389"," 54342.302"," 811425.2"," 71570.27"," 9537700"," 2967606","1915101","42988555"," 82706.46"," 758981.9","1104681.2","10811.744"," 540561.8"," 36507.168"," 60219.44","4771924","  73916.83","174687.13"," 426089.3","165904.78","203953.43","10383149","29596538","14186.858"," 89054.02"," 51447.23","139561.41"," 76683.79","28680.844","3623209","18141408.4","100176.96","1817067","1344904.7","286779.7"," 1525593.1","4094303.2","2720681","57065957","26113.646","2501619"," 2042025.7","  33775.632","104429.16"
"189","579223.5","19890.48"," 349743.15","10811.744"," 89054.02","329314.1"," 66409.28"," 155581.11","1525593.1"," 625097.0","  14186.858"," 51447.231"," 195143.87"," 4094303","238707.58","1716714"," 42592.15","226029.9"," 82706.457","10383149"," 496886.7","1344904.7","26369283","104429.16"," 92817.12"," 4771924"," 923729.7"," 6720093","22161389","12773946"," 185390.77","26113.646","165904.8","45732.003"," 12498.132"," 976488.4"," 867617.1","  28680.84","215821.4","308850.3","118709.65","1037626.8"," 286779.69","1915101","540561.8","23841.55","113319.53","71760851","3623209.4","32662886"," 460384.5","100176.96"," 395687.6","146990.90","252271.47","  269514.283","  79534.316","39610.20","  6677.667","18141408","1817066.5"," 667543.2","1263557.0","1431978.9"," 131631.78","  63077.41","  9046.936"," 71570.27","42988555","29596538"," 36507.168"," 710426.4"," 85878.66"," 8727833"," 5610338","1613651","14904168"," 48603.67"," 758981.9","1183770.6","21891.626"," 811425.2"," 60219.439"," 69010.09","2720681","  96695.68","174687.13"," 426089.3","125174.65","139561.41","11436701","36397768","17924.823","108721.95"," 57115.84","370444.55"," 54342.30","33775.632","2501619"," 9537700.2"," 76683.79","2328563","1104681.2","203953.4"," 7704418.2","3229726.2","2181806","57065957","16078.836","2967606"," 2042025.7","  31187.808"," 73916.83"
"190","540561.8","21891.63"," 215821.41","12498.132","104429.16","395687.6"," 71570.27"," 118709.65","1716714.3"," 496886.7","  10811.744"," 42592.153","2501618.76"," 6720093"," 66409.28","1613651"," 51447.23","226029.9"," 92817.123","14904168"," 758981.9","1344904.7","32662886","139561.41","125174.65"," 8727833"," 667543.2","12773946"," 7704418","11436701","  96695.68"," 9046.936","185390.8","26113.646"," 60219.439"," 923729.7","1263557.0","  69010.09","238707.6","308850.3","155581.11"," 976488.4"," 426089.28","1817067","625097.0","19890.48","108721.95","57065957","2720680.7","26369283"," 460384.5"," 54342.30"," 349743.2","252271.47","269514.28","  195143.868","  16078.836","39610.20"," 48603.666","18141408","1104681.2"," 710426.4","4771923.9","1431978.9","  31187.81"," 113319.53","165904.776"," 36507.17","29596538","22161389"," 57115.836"," 579223.5"," 73916.83"," 9537700"," 2967606","1525593"," 3623209"," 63077.41"," 811425.2","1183770.6","14186.858"," 203953.4"," 45732.003"," 89054.02","4094303","  33775.63","131631.78"," 329314.1","370444.55","174687.13","10383149","36397768"," 6677.667","100176.96"," 82706.46","146990.90"," 85878.66","28680.844","2328563","71760851.4"," 76683.79","1915101"," 867617.1","286779.7"," 5610338.3","3229726.2","2042026","42988555","23841.547","2181806"," 1037626.8","  17924.823"," 79534.32"
"191","349743.2","23841.55"," 131631.78","12498.132"," 92817.12","426089.3"," 73916.83","  66409.28","1915101.2"," 329314.1"," 460384.472"," 45732.003"," 252271.47"," 6720093"," 57115.84","2042026"," 39610.20","195143.9"," 96695.685","18141408"," 811425.2"," 710426.4","36397768","104429.16","108721.95"," 5610338"," 625097.0"," 9537700"," 8727833","11436701","  31187.81","10811.744","215821.4","16078.836"," 51447.231","1037626.8","1183770.6","  71570.27","203953.4","308850.3","139561.41","1104681.2"," 579223.45","2181806","667543.2","21891.63","155581.11","71760851"," 758981.9","42988555"," 370444.6"," 48603.67"," 238707.6","165904.78","174687.13","  395687.644","  85878.656","26113.65","100176.963","22161389","1263557.0"," 923729.7","2967606.0","1716714.3"," 540561.79","  60219.44","226029.941"," 33775.63","32662886","26369283"," 63077.407"," 976488.4"," 36507.17","14904168"," 4094303","1817067"," 7704418"," 42592.15"," 867617.1","1525593.1"," 9046.936"," 496886.7"," 28680.844"," 54342.30","4771924","  76683.79","118709.65"," 269514.3","185390.77","146990.90","10383149","29596538"," 6677.667","113319.53"," 69010.09","125174.65"," 79534.32","19890.480","2720681","12773946.2"," 89054.02","1613651","1431978.9","286779.7"," 2501618.8","3623209.4","3229726","57065957","14186.858","2328563"," 1344904.7","  17924.823"," 82706.46"
"193","460384.5","21891.63"," 238707.58"," 6677.667"," 60219.44","370444.6"," 63077.41"," 226029.94","1525593.1"," 426089.3"," 155581.114"," 23841.547"," 496886.70","10383149","113319.53","1716714"," 39610.20","215821.4"," 73916.831","18141408"," 811425.2"," 758981.9","26369283"," 85878.66"," 92817.12"," 6720093"," 625097.0","12773946","14904168"," 8727833","  89054.02","14186.858","203953.4","19890.480","104429.164"," 923729.7","1183770.6","  26113.65","185390.8","329314.1","108721.95"," 976488.4"," 252271.47","1915101","667543.2","16078.84","174687.13","71760851","2967606.0","29596538"," 308850.3"," 45732.00"," 286779.7","146990.90","269514.28","  579223.452","  71570.274","33775.63"," 36507.168","22161389","1037626.8"," 867617.1","1817066.5","2181805.5","  66409.28","  82706.46","131631.776"," 57115.84","42988555","32662886"," 31187.808"," 710426.4"," 76683.79"," 9537700"," 3623209","1613651"," 4771924"," 48603.67","1104681.2","1431978.9"," 9046.936"," 349743.2"," 42592.153"," 51447.23","4094303","  69010.09","195143.87"," 165904.8","125174.65","139561.41","11436701","36397768","10811.744","118709.65"," 54342.30","540561.79"," 79534.32","17924.823","2328563"," 7704418.2","100176.96","1263557","1344904.7","395687.6"," 2501618.8","5610338.3","3229726","57065957","12498.132","2720681"," 2042025.7","  28680.844"," 96695.68"
"194","370444.6","36507.17"," 329314.09","12498.132"," 71570.27","286779.7"," 73916.83"," 540561.79","2181805.5"," 625097.0","  23841.547"," 82706.457"," 269514.28"," 4771924"," 42592.15","1716714"," 63077.41","226029.9","125174.647","11436701"," 579223.5"," 710426.4","32662886","155581.11","118709.65"," 6720093"," 867617.1","14904168"," 8727833","12773946","  92817.12"," 9046.936","238707.6","28680.844"," 33775.632"," 923729.7","1817066.5","  69010.09","215821.4","308850.3"," 96695.68","1104681.2"," 349743.15","3229726","496886.7","31187.81","165904.78","71760851"," 976488.4","29596538"," 758981.9"," 48603.67"," 395687.6","203953.43","146990.90","   19890.480","   6677.667","45732.00"," 17924.823","18141408"," 811425.2","1613650.9"," 667543.2","1915101.2"," 174687.13"," 108721.95"," 66409.277"," 57115.84","36397768","26369283","100176.963","1183770.6"," 39610.20","10383149"," 7704418","2720681","57065957"," 51447.23"," 460384.5","1263557.0","14186.858","1037626.8"," 60219.439"," 79534.32","5610338","  26113.65","185390.77"," 426089.3","139561.41","195143.87"," 9537700","22161389","10811.744","131631.78"," 76683.79"," 85878.66"," 89054.02","54342.302","2042026"," 4094303.2","104429.16","2967606","1525593.1","252271.5"," 1344904.7","3623209.4","2328563","42988555","21891.626","2501619"," 1431978.9","  16078.836","113319.53"
"195","579223.5","31187.81"," 226029.94","10811.744"," 89054.02","395687.6"," 66409.28"," 252271.47","2042025.7"," 667543.2","  71570.274"," 51447.231"," 286779.69"," 6720093","108721.95","1817067"," 42592.15","195143.9"," 76683.790","14904168"," 710426.4"," 460384.5","42988555","113319.53"," 92817.12"," 7704418"," 867617.1"," 5610338","18141408"," 8727833"," 174687.13"," 9046.936","203953.4","23841.547","  6677.667"," 923729.7","1431978.9","  12498.13","185390.8","370444.6","139561.41","1037626.8"," 540561.79","2328563","625097.0","21891.63","155581.11","57065957","1263557.0","26369283"," 426089.3"," 57115.84"," 238707.6","308850.30","131631.78","  125174.647","  26113.646","45732.00"," 33775.632","22161389","1525593.1"," 811425.2","1613650.9","1716714.3","  96695.68","  54342.30","104429.164"," 39610.20","36397768","29596538"," 48603.666"," 976488.4"," 82706.46","10383149"," 4771924","1915101","11436701"," 79534.32"," 758981.9","1183770.6","16078.836"," 349743.2"," 36507.168"," 60219.44","3623209","  63077.41","118709.65"," 329314.1","165904.78","146990.90"," 9537700","32662886","14186.858","496886.70"," 69010.09","215821.41"," 73916.83","28680.844","2181806","12773946.2","100176.96","2501619","1104681.2","269514.3"," 2720680.7","4094303.2","2967606","71760851","17924.823","3229726"," 1344904.7","  19890.480"," 85878.66"
"196","395687.6","33775.63"," 146990.90","10811.744"," 76683.79","308850.3"," 54342.30"," 460384.47","3229726.2","1183770.6"," 174687.132"," 85878.656"," 252271.47"," 4094303"," 66409.28","2042026"," 36507.17","215821.4","238707.575","14904168"," 496886.7","1037626.8","32662886","100176.96"," 82706.46","10383149","1613650.9","18141408","11436701"," 5610338","  92817.12"," 9046.936","203953.4","31187.808"," 19890.480"," 976488.4"," 758981.9","  28680.84","185390.8","286779.7","118709.65","1263557.0"," 329314.09","2181806","625097.0","23841.55","165904.78","71760851","1525593.1","29596538"," 426089.3"," 51447.23"," 667543.2","195143.87","139561.41","  540561.785"," 226029.941","17924.82"," 12498.132","12773946"," 867617.1"," 811425.2","1344904.7","1915101.2","  96695.68","  89054.02"," 71570.274"," 79534.32","36397768","22161389"," 39610.198"," 710426.4"," 42592.15"," 9537700"," 8727833","1817067","42988555"," 45732.00"," 579223.5","1104681.2","14186.858"," 370444.6","104429.164"," 60219.44","4771924"," 125174.65","113319.53"," 349743.2","108721.95","155581.11"," 6720093","26369283"," 6677.667"," 69010.09"," 48603.67","131631.78"," 63077.41","21891.626","2967606"," 7704418.2"," 57115.84","2720681","1431978.9","269514.3","  923729.7","3623209.4","2328563","57065957","16078.836","2501619"," 1716714.3","  26113.646"," 73916.83"
"197","426089.3","31187.81"," 269514.28"," 9046.936"," 73916.83","329314.1"," 76683.79"," 496886.70","2181805.5"," 867617.1"," 131631.776"," 33775.632"," 100176.96"," 4771924","370444.55","1344905"," 42592.15","165904.8","108721.945","12773946"," 625097.0"," 923729.7","36397768","139561.41"," 85878.66","14904168","1183770.6"," 6720093","11436701"," 7704418","  96695.68"," 6677.667","203953.4","36507.168"," 23841.547"," 811425.2","1613650.9","  26113.65","174687.1","226029.9","125174.65"," 976488.4"," 215821.41","1817067","540561.8","16078.84","113319.53","71760851","1716714.3","32662886"," 308850.3"," 60219.44"," 395687.6","185390.77","118709.65"," 1037626.845"," 146990.904","28680.84"," 14186.858","18141408","1104681.2"," 667543.2"," 758981.9","3229726.2","  92817.12","  71570.27"," 82706.457"," 45732.00","42988555","26369283"," 39610.198"," 710426.4"," 51447.23"," 8727833"," 5610338","1525593","22161389"," 66409.28"," 579223.5","1431978.9","10811.744"," 460384.5","286779.689"," 63077.41","2967606","  54342.30","104429.16"," 252271.5","349743.15","155581.11","10383149","29596538","12498.132"," 57115.84"," 48603.67","195143.87"," 69010.09","19890.480","2042026"," 9537700.2"," 79534.32","1915101","1263557.0","238707.6"," 3623209.4","4094303.2","2501619","57065957","17924.823","2720681"," 2328562.6","  21891.626"," 89054.02"
"198","540561.8","31187.81"," 252271.47","10811.744","104429.16","269514.3"," 82706.46"," 146990.90","1431978.9"," 867617.1","  48603.666"," 42592.153"," 139561.41"," 8727833"," 66409.28","2042026"," 39610.20","195143.9"," 96695.685","12773946"," 496886.7"," 923729.7","29596538","108721.95"," 92817.12"," 7704418","1037626.8","14904168","10383149","11436701"," 155581.11"," 9046.936","226029.9","76683.790"," 26113.646"," 976488.4"," 426089.3","  16078.84","203953.4","238707.6","118709.65","1344904.7"," 349743.15","2328563","758981.9","33775.63","131631.78","71760851","2501618.8","36397768"," 579223.5"," 60219.44"," 395687.6","125174.65","308850.30","  625096.991","  12498.132","23841.55"," 21891.626","22161389","1613650.9"," 811425.2","1263557.0","2967606.0"," 215821.41"," 113319.53"," 54342.302"," 57115.84","42988555","18141408"," 45732.003"," 710426.4"," 73916.83"," 9537700"," 5610338","1915101"," 3623209"," 69010.09"," 667543.2","1104681.2","17924.823"," 329314.1"," 36507.168"," 89054.02","4094303"," 100176.96","174687.13"," 460384.5","370444.55","165904.78"," 6720093","32662886"," 6677.667"," 71570.27"," 85878.66","286779.69"," 79534.32","28680.844","2720681"," 4771923.9"," 51447.23","1817067","1183770.6","185390.8","26369282.8","3229726.2","2181806","57065957","19890.480","1716714"," 1525593.1","  14186.858"," 63077.41"
