"Sample","Label","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"12","C","1.628289"," 0.155203594","1.1018278"," 0.0803786065","1.0579800","1.521934","0.9207551","1.2884054","2.341462","1.694420"," 0.44987766"," 0.77413271","1.2420221","2.868623"," 0.92327635","2.268668","0.6112869","1.3487873"," 1.25426598","3.268557","1.945846","2.245508","3.655668","1.1103981","1.1218353","2.987525","1.885575","3.302382","3.002996","1.1501824"," 0.442507652","1.4039199"," 0.4334760866"," 0.7418649024","1.988678","2.073642"," 0.472555338","1.3349645","1.581795","1.0985408","2.091308","1.6628663","2.189600","1.878352","0.52570770","1.3234352","3.911909","2.466083","3.489808","1.561663","0.8787646","1.7048171","1.3468390","1.2405392"," 2.88662246"," 2.506121744"," 0.5320315","-0.3382151109","3.327857","2.095384","1.852238","2.356347","2.040906","0.7828929","1.1064079"," 0.032330723","0.71999964","3.562712","3.442167"," 0.7635331","1.896239","1.0683872","2.985200","2.819323","2.196984","2.547439","0.6668572","2.019542","2.194024"," 1.875459e-01","1.2882779"," 0.50005405","1.0231926","2.805800","0.9880078","1.1191362","1.509737","1.1739726","1.1662091","3.118203","3.544094"," 0.248498726"," 1.1618141","1.0459947","1.4060621","0.8756813"," 0.733928094","2.491949","2.805367","1.2116098","2.341206","1.876230","1.5193629","2.374971","2.733350","2.660616","3.802609"," 0.176866689","2.350248","2.242835"," 0.495747395","1.1380883"
"c","C","1.325808"," 0.484148413","0.9166554","-0.1011047145","0.7762363","1.417162","0.7679363","2.0390356","1.970978","1.479714"," 0.37897473"," 0.60344369","1.1868816","2.480336"," 0.68044508","2.093862","0.3461797","1.2128796"," 0.46385912","3.072331","1.565616","1.911043","3.459805","0.9335503","0.8226018","2.722026","1.616008","2.846381","2.607315","0.5231802"," 0.039439961","1.1883263"," 0.0898033767"," 0.9314270686","1.855924","1.692403"," 1.493066030","1.1904873","1.479556","0.8905280","1.912430","1.3099204","2.088777","1.725659","0.26018380","1.0015180","3.689977","2.319374","3.339030","1.312153","0.7071482","1.2831974","1.0414008","1.2805907"," 1.49635254"," 0.249120330"," 0.2946771"," 0.7734924027","2.882800","1.731327","1.590587","1.813213","2.063636","1.6843953","0.6545297"," 1.133645388","0.45817485","3.342349","3.082014"," 0.5810600","1.860127","0.4173467","2.682232","2.317622","2.090913","3.375358","0.7324195","1.547129","1.859778","-2.469475e-01","1.6255601"," 0.23692064","0.7231113","2.396833","0.7875746","0.8626036","1.220090","0.7399946","0.9969882","2.719789","3.425391","-0.300631976"," 1.1113703","0.6585378","0.8486661","0.6971135"," 0.215137080","2.352945","3.268207","0.6994513","1.983238","2.006677","1.2761758","2.352677","2.238659","2.173287","3.466702","-0.100359099","2.083612","1.843123","-0.040835274","0.7070811"
"14","C","1.592590"," 0.432245401","1.0601666","-0.0792482557","0.8571142","1.463445","0.7846611","1.2543049","2.125795","1.720030"," 0.36374400"," 0.73381760","0.9598134","2.618067"," 0.82995111","2.158692","0.6052841","1.2621779"," 0.80710085","3.184812","1.836314","1.826876","3.385939","1.1170466","0.9150935","2.931517","1.874841","2.607204","2.953887","0.8888069"," 0.272472410","1.1680569"," 0.2492175442"," 0.6272098718","1.876507","1.926670"," 1.049030839","1.2514933","1.504661","0.9968409","1.971158","1.2958367","2.108484","1.778160","0.44223746","1.1464754","3.711931","2.354442","3.418550","1.394241","0.8200169","1.3934600","1.1105580","1.2278602"," 1.88465372"," 0.749220776"," 0.4933493"," 0.6961772202","3.193212","1.918881","1.785175","2.393409","2.192266","0.7638936","0.6454270"," 1.140572749","0.71969343","3.406295","3.366836"," 0.3299549","1.443882","0.8553839","2.952750","2.445416","2.123213","2.398280","0.5284607","1.755729","2.074293"," 9.088044e-03","1.3335324"," 0.50255468","0.7415938","2.533305","0.8390518","0.9509055","1.311207","1.0845242","1.0182740","2.964841","3.511578","-0.244832164"," 1.1848740","0.7530946","1.0850624","0.7389056"," 0.338342215","2.457373","2.876133","0.9136347","2.154725","2.019481","1.5207633","2.664114","2.548973","2.315839","3.633671"," 0.274942250","2.388290","1.923974"," 0.368600448","0.9998154"
"15","C","1.745350"," 0.722246111","1.4337790"," 0.2840006089","1.0404230","1.696793","0.9836416","1.3807923","2.393142","1.879841"," 0.41592873"," 0.97298890","1.5065999","2.879968"," 1.23072122","2.408999","0.7561918","1.5101899"," 1.08096162","3.315876","1.931325","2.074020","3.737849","1.3078090","1.0726046","3.001331","2.039181","3.126687","3.092238","1.2050043"," 0.334178362","1.4053232"," 0.5874658643"," 1.5411379550","2.135957","1.911502"," 2.288976030","1.4897909","1.717278","1.2421180","2.195394","1.8196409","2.442460","2.016692","0.47218407","1.4006671","3.941296","2.248777","3.654081","1.663222","0.8666057","1.5784738","1.5584843","1.4931417"," 1.54747786"," 0.881398856"," 0.6673694"," 0.8840104675","3.400660","2.122729","2.198044","2.075885","2.338621","1.3718688","1.0216653"," 1.308575770","0.89593155","3.607327","3.350305"," 0.4714210","1.562784","1.0330522","3.056676","2.795121","2.421770","2.459346","0.8152581","1.924038","2.212697"," 1.457743e-01","1.4777622"," 0.64982993","1.0394514","2.692707","0.9182461","1.1654986","1.708759","1.2154303","1.2694512","3.143223","3.621873"," 0.243149769"," 0.8134057","1.0572945","1.0744834","1.0071890"," 0.628623373","2.552902","3.285685","1.0695783","2.565105","2.278953","1.5850057","2.759690","2.717289","2.527454","3.821259"," 0.375184494","2.477529","2.212254"," 0.429905973","1.1653969"
"16","C","1.555862"," 0.326567919","1.2626782","-0.0056831942","0.9000241","1.505929","0.8681107","1.7307711","2.045737","1.734800"," 0.27568080"," 0.59816269","1.7296447","2.704304"," 0.65386194","2.220676","0.5253372","1.3005639"," 0.96617405","3.068604","1.798051","1.924368","3.430110","1.0297841","0.9374367","2.564025","1.850285","2.951597","2.895824","0.6144976"," 0.162451562","1.2153926"," 0.1157925781"," 0.1494380615","1.949593","1.751995"," 0.311805473","1.3034991","1.526085","1.2151356","2.028396","1.4861703","2.297850","1.838178","0.39375610","1.0604499","3.799643","2.053007","3.464059","1.581935","0.7530406","1.3875401","1.2228141","1.3669655"," 1.28816813"," 0.321472854"," 0.4476991"," 0.6998749816","3.113611","1.866526","1.916033","2.407566","2.085043","0.6813967","0.8381966"," 1.210152817","0.67319117","3.477047","3.170584"," 0.9085615","2.019868","0.6249446","2.914409","2.900115","2.329643","3.158431","0.7542394","1.759017","2.058938"," 7.381745e-02","1.9347483"," 0.39131920","0.9038192","2.391074","0.9253529","1.0520406","1.445874","0.8688881","1.1169094","2.883739","3.351479","-0.092743784"," 0.5703246","0.7902941","1.2549037","0.8122167"," 0.418117161","2.354424","3.686431","0.8194587","2.282991","1.971216","1.2533259","2.684210","2.450586","2.271953","3.548828"," 0.085813312","2.235114","2.036851"," 0.217817087","0.9171471"
"17","C","2.115078"," 0.780187434","1.6006557"," 0.3765900906","1.2997556","1.856515","1.2092781","1.8204063","2.854440","2.241585"," 0.78740994"," 1.01776426","1.4073199","3.108064"," 1.43937244","2.453918","0.9838555","1.6816317"," 1.25967133","3.604872","2.113273","2.368587","3.789821","1.1118499","1.3805432","3.334231","2.401736","3.300737","3.488396","1.9386695"," 1.092999855","1.6612046"," 0.8392431185"," 1.1378569341","2.329828","2.281337"," 1.284534341","1.6386890","1.909660","1.5995288","2.365437","2.3934127","2.516342","2.174403","0.71757667","1.8476812","4.211981","2.705577","3.701967","1.906000","1.0650278","1.8592469","1.7069986","1.4543620"," 2.25347280"," 1.676890592"," 0.9911481"," 1.3264345677","3.401201","2.514704","2.209396","2.514993","2.621721","2.4116674","1.3943557"," 1.681776044","1.40095941","3.915798","3.838985"," 0.7610399","1.600385","1.3614256","3.285778","3.032943","2.540770","2.648758","0.9750547","2.156283","2.381078"," 6.137476e-01","1.7656547"," 0.79131751","1.2515115","2.839394","1.5486492","1.4933515","1.893122","1.5507739","1.4335711","3.449907","3.926989"," 0.623237622"," 1.3715377","1.4128018","1.7930953","1.1942991"," 0.766425483","2.564051","3.349887","1.3433873","2.719199","2.413848","1.6922456","2.914035","2.910675","2.816112","4.154764"," 0.268110540","2.783868","2.503190"," 0.764013233","1.3358677"
"d","C","1.557175"," 0.558101624","1.2268268"," 0.0792567899","0.9384429","1.539602","0.9308568","1.9150396","2.189271","1.739038"," 1.02597566"," 0.83397520","1.2920660","2.639666"," 0.76786563","2.237676","0.6346326","1.3969706"," 0.84664755","3.121407","1.804646","1.864477","3.534503","1.1635629","0.9586995","2.826535","1.857804","3.022318","2.931572","0.8385404"," 0.208276544","1.3497705"," 0.4827241213"," 0.9481989890","2.036848","2.038729"," 1.061324320","1.3742456","1.653111","1.1724668","2.103181","1.3803243","2.165673","1.909936","0.47625066","1.1073895","3.764123","2.032306","3.471147","1.458995","0.8474232","1.6140192","1.2588143","1.2992811"," 1.12574449"," 0.393524442"," 0.4648206"," 0.9641928159","3.092466","2.001088","1.859289","1.932501","2.229050","1.6590880","0.8127214"," 1.490216360","0.81883125","3.472846","3.245408"," 0.9528907","2.056619","0.7587415","2.896232","2.716466","2.180171","3.432434","0.8224404","1.747438","2.032879"," 1.574144e-01","1.8459218"," 0.73854209","0.8856988","2.537445","0.5538472","1.0281904","1.293035","0.8317652","1.1708051","2.852798","3.384807"," 0.034972555"," 1.0929011","0.8609398","1.4583652","0.7936255"," 0.814834989","2.477605","3.178542","0.7847867","2.483357","2.157174","1.5224019","2.384076","2.410473","2.259957","3.706963"," 0.209825583","2.348615","2.129565"," 0.080573886","0.6384510"
"19","C","1.561426"," 0.378806893","0.9173757","-0.1445392220","0.8871315","1.455141","0.8356866","1.2684913","2.189504","1.531708"," 0.55183449"," 0.65299928","1.0310908","2.737905"," 0.86979642","2.172437","0.6451293","1.2693069"," 0.77817711","3.120627","1.801790","1.799432","3.500413","1.2016235","0.9278105","2.894183","1.696729","3.058756","2.965924","1.1039936","-0.051658137","1.2837486"," 0.3280057342"," 0.7451024539","1.902007","2.061895"," 1.313498059","1.2704736","1.478340","1.1363779","1.965635","1.4317825","2.250599","1.782702","0.32300303","1.0369601","3.773328","2.185749","3.419220","1.487088","0.7205032","1.5251290","1.2324183","1.1986072"," 1.63062875"," 0.468782509"," 0.6261598"," 0.8152177268","3.158898","2.011932","1.865871","1.954841","2.095985","1.1045190","0.7987257"," 1.218370294","0.72522938","3.456197","3.370250"," 0.5488328","1.624071","0.9207797","2.909431","2.502672","2.220606","2.440618","0.5963144","1.841863","2.068287"," 1.818216e-02","1.1569968"," 0.41266868","0.8962745","2.554021","1.0202701","1.0188219","1.450892","0.9311425","1.0399203","2.897621","3.572320"," 0.157465101"," 1.3480802","0.8676482","1.3000586","0.8310579"," 0.500432440","2.301918","3.000843","0.8543926","2.227121","1.976140","1.4963274","2.435824","2.564794","2.348872","3.658046"," 0.178754236","2.422176","1.905560"," 0.323627118","0.9737770"
"20","C","1.599620"," 0.503931286","0.9378130"," 0.0677257749","1.0429774","1.591353","0.9718036","2.1993761","1.890394","1.603713"," 0.82450094"," 0.40333020","1.2229624","2.836063"," 0.80711398","2.195513","0.6543762","1.4069144"," 0.93136734","3.079043","1.859556","1.956584","3.326689","1.2388648","0.8587673","2.637291","1.763305","2.663842","2.915965","0.4815527","-0.475091257","1.2781738"," 0.1995235195"," 0.9114595264","2.051938","2.048063"," 0.331417486","1.3768027","1.644941","1.2831928","2.092803","1.4004136","2.473440","1.878455","0.21260355","1.1490100","3.996217","2.419094","3.435876","1.491583","0.9597442","1.5666689","1.2765713","1.1501943"," 0.83937876"," 0.959375247"," 0.4700279"," 0.7663469259","3.279045","2.034191","2.062937","1.930063","2.184534","2.7726490","0.9333205"," 1.230922384","0.76615225","3.759845","3.307769"," 0.9760121","2.026412","0.5828920","2.983937","2.651511","2.462639","3.767163","0.6136568","1.841320","2.125894"," 4.314148e-02","1.1757776"," 0.79155727","0.9119230","2.313738","0.7781220","1.3404676","1.362159","1.0925526","1.1286016","2.857118","3.471869"," 0.131825125"," 1.6356088","0.7988188","1.6991220","0.8399541"," 0.590993384","2.410165","2.352399","0.8436957","2.130175","2.115135","1.5213733","1.682110","2.432687","2.282537","3.759604"," 0.316689857","2.294496","2.119515"," 0.206495504","0.8449898"
"21","C","1.417896"," 0.254672505","0.9227666","-0.3042411931","0.7166361","1.236133","0.5958432","1.1118038","1.735750","1.389901","-0.06883048"," 0.44016303","1.4898273","2.376331"," 0.46676209","1.914170","0.4349941","1.0482075"," 0.80810187","2.930483","1.447554","2.045107","3.222192","0.7732897","0.7021557","2.710103","1.473731","2.681696","2.540396","0.9960275","-0.371863281","1.0366575"," 0.3156030582"," 0.3349625505","1.674192","1.515307","-0.101354232","0.9771318","1.337887","0.8127987","1.776949","0.8966210","1.849594","1.532125","0.20235596","0.8275248","3.498454","2.101650","3.156134","1.238917","0.4771149","1.4641581","0.7732434","1.1037793"," 1.42407659"," 0.534259743"," 0.1436961"," 0.0604507393","2.804866","1.727819","1.553813","1.840565","1.953044","1.1704854","1.0638199"," 0.569356166","0.28504582","3.141691","2.933385"," 0.3143576","1.567456","0.5487237","2.729301","2.554174","1.856971","2.643908","0.4588543","1.386060","1.717609"," 2.006134e-04","1.3645709"," 0.52885513","0.5181377","2.340825","0.7515298","0.7324418","1.248102","1.0727014","0.8511190","2.662992","3.129175","-0.421147645"," 0.9562441","0.4790025","0.5795927","0.5673774"," 0.113669294","2.211705","3.406163","0.5218617","1.899074","1.807945","1.2157885","2.342216","2.157692","1.955175","3.422799","-0.115134083","1.924268","1.803621","-0.030747459","0.6103530"
"22","C","2.048606"," 1.017282162","2.0169244"," 0.4504570062","1.2212963","1.898994","1.2168398","2.5774547","2.521044","2.191175"," 0.51576352"," 1.12980838","1.7534739","2.927654"," 1.37698712","2.598228","1.0134438","1.7038954"," 1.18461274","3.575000","2.055720","2.750970","3.753021","1.4436831","1.2250459","3.198621","2.341361","3.149489","3.453330","1.4192890"," 0.406508008","1.7237057"," 0.8455371460"," 0.5944747611","2.318419","2.185411"," 0.790992379","1.6568448","2.013135","1.6072297","2.418841","1.6227372","2.758627","2.185633","0.79085398","1.6400298","4.141559","2.804719","3.853808","2.032606","1.1328546","1.7720450","1.9289870","1.7450654"," 1.85296291"," 1.244702982"," 0.7592365"," 0.7057048943","3.492984","2.477058","2.332977","2.624302","2.722097","1.6544353","1.3625820"," 1.343204819","1.03272553","3.861471","3.654297"," 0.7065629","2.119786","1.3492658","3.101150","3.024974","2.747393","3.950778","1.0103903","2.112067","2.300858"," 7.182367e-01","2.3678868"," 0.97684832","1.1638889","2.792246","1.4033657","1.4374940","2.074440","1.7184620","1.4339507","3.421300","3.776543"," 0.114675508"," 2.1356526","1.3873202","1.5620164","1.2175814"," 0.779849735","2.820588","2.739516","1.2708767","2.623344","2.523861","1.7300968","2.214432","2.868247","2.681263","4.133450"," 0.658596321","2.613943","2.514260"," 0.720423633","1.2728385"
"24","C","1.918386"," 0.697616549","1.8386685"," 0.3646908844","1.1674048","1.904929","1.2392008","2.2562778","2.733357","2.212711"," 0.42514289"," 1.00986680","1.6211283","3.099140"," 1.17415270","2.584037","0.9428366","1.6998712"," 1.37301154","3.523518","2.195618","2.508970","3.941767","1.2336711","1.3432699","3.143322","2.345448","3.305084","3.451936","1.1576198"," 0.332260245","1.6183279"," 0.7775818717"," 0.7990740091","2.335650","2.370309"," 0.639870024","1.6999064","2.035363","1.5123303","2.433648","1.5633318","2.566210","2.183862","0.80773355","1.4643309","4.215603","2.636595","3.809013","1.976345","1.0962815","2.1101392","1.5871445","1.8113605"," 1.34717185"," 0.253900637"," 0.8570256"," 0.6613143812","3.493595","2.141662","2.229010","2.113199","2.553859","1.5326557","1.0863047"," 1.325520458","1.10599966","3.883910","3.624779"," 1.1949061","2.317760","1.1159514","3.350957","3.209179","2.595023","3.867062","1.2159277","2.194130","2.471761"," 4.406456e-01","2.0049108"," 1.02961507","1.3003572","2.904712","1.1722812","1.4511509","2.017542","1.9489252","1.4184957","3.292013","3.806856"," 0.179397643"," 1.8255082","1.2356043","1.6009295","1.2289513"," 0.796360318","2.769109","4.070603","1.2981996","2.672964","2.283025","1.7736551","2.898066","2.845494","2.694401","3.870406"," 0.436110846","2.657918","2.536517"," 0.650833018","1.2759005"
"25","C","2.222211"," 0.973328028","1.7497066"," 0.5806702214","1.3924946","2.065580","1.4226437","2.3591400","2.549959","2.260847"," 0.76482216"," 1.26689909","1.8807247","3.138191"," 1.77986998","2.685977","1.1190147","1.8783108"," 1.08838217","3.699654","2.342754","3.119507","4.066401","1.4654506","1.3405400","3.435116","2.410018","3.157562","3.326571","1.3623581"," 0.924121618","1.8888808"," 1.0159757296"," 1.8730762071","2.491954","2.144817"," 2.401048659","1.8284947","2.173928","1.7799345","2.558339","1.7500432","2.984473","2.323979","0.95531601","1.8272539","4.370087","3.242407","3.941998","2.052199","1.6409985","2.1709512","1.4615762","1.9310803"," 2.31587712"," 1.906604579"," 0.9247849"," 0.8243531460","3.591995","2.454560","2.514206","2.444483","2.795440","2.6979550","1.4712749"," 0.359378615","1.20723421","4.101230","3.786468"," 1.3292512","2.501762","1.4240278","3.194633","3.269762","2.990621","3.842311","1.2523404","2.234814","2.621262"," 8.170871e-01","1.6600917"," 1.36748291","1.2702655","3.097663","1.8066659","1.6524891","1.990788","1.4781142","1.5725945","3.741980","4.152624"," 0.417823126"," 1.5579430","1.4157460","1.7250553","1.4036188"," 0.967052512","3.068973","3.574962","1.5641546","2.740961","2.493482","1.8880495","3.446749","2.863369","2.963087","4.137424"," 0.669851783","2.802768","2.585193"," 0.983814132","1.4011655"
"27","C","1.829356"," 0.667865059","1.5632690"," 0.2752220945","1.1258216","1.745917","1.0822159","1.8408246","2.570875","1.862441"," 0.44459641"," 1.06361560","1.4831262","2.903339"," 1.28079525","2.469103","0.8031008","1.5817540"," 1.21846551","3.401827","1.990024","2.480255","3.756207","1.2436936","1.1934261","3.161512","2.033856","3.150666","3.202312","1.6006093"," 0.320704082","1.5783082"," 0.2300908433"," 0.9156667069","2.171681","2.200561"," 1.587315946","1.5173589","1.860279","1.4728960","2.285855","1.4446646","2.547377","2.041203","0.72625829","1.5180958","3.988734","2.631882","3.687698","1.914113","1.2313197","1.8485616","1.4387700","1.6893934"," 2.54735082"," 1.359391718"," 0.8508593"," 0.4899117328","3.384834","2.154111","2.157371","2.463139","2.413442","1.7926290","1.1219869"," 0.689155624","1.02781043","3.665653","3.630359"," 1.2131092","2.195671","1.0692318","3.196690","2.889267","2.559416","3.174734","0.9946644","1.845048","2.245751"," 3.491672e-01","1.9094541"," 0.82255251","1.0373943","2.827112","2.4213316","1.2143715","1.743628","1.4929212","1.3287219","3.214819","3.834785"," 0.182280065"," 1.0544964","1.1912270","1.2246605","1.0792057"," 0.693909962","2.653717","3.328127","1.2204845","2.525603","2.231850","1.5760873","2.972247","2.799408","2.620343","3.859805"," 0.376178736","2.694004","3.049191"," 2.171629339","1.1859016"
"28","C","1.647603"," 0.716734280","1.4333799"," 0.2514866749","1.0013841","1.702456","1.0628632","2.2456655","2.360669","1.809267"," 0.39654299"," 1.07310693","1.3017834","2.837060"," 0.95599576","2.345138","0.6670202","1.5017603"," 0.96386530","3.430904","1.980337","2.432681","3.692613","1.0937990","1.0804468","2.835393","1.976386","3.074632","3.107238","1.2042492","-0.060168845","1.4781730"," 0.0852060097"," 0.8933420920","2.133074","2.198297"," 0.483804895","1.4732087","1.795820","1.3184669","2.204915","1.2590838","2.467867","1.979986","0.54316239","1.1360198","3.916833","2.525919","3.594650","1.752862","0.9315189","1.5619801","1.4415205","1.4987255"," 1.22937071"," 0.816442349"," 0.5647706"," 1.2031132710","3.295783","2.108959","2.104838","2.090472","2.515448","1.5328823","0.7556745"," 1.867607241","0.89212275","3.589332","3.418771"," 0.7198560","2.034525","0.7742317","3.013452","2.794008","2.479584","3.618638","0.7777706","1.961360","2.234777"," 1.340067e-01","1.7876491"," 0.76314062","0.9739708","2.565393","1.0350912","1.1706439","1.488487","1.7322031","1.2420510","3.094845","3.502392","-0.062408943"," 0.8178255","0.8823075","1.0693139","0.9931240"," 0.679755180","2.658438","3.344396","0.9798971","2.405889","2.280262","1.6143049","2.364421","2.709472","2.405210","3.795234"," 0.420851675","2.428775","2.356533"," 0.347151964","1.0813304"
"29","C","1.501045"," 0.143375865","1.1508933","-0.2392384389","0.6304239","1.336501","0.6193808","1.2105071","2.158726","1.410786","-0.10674736"," 0.73968178","1.1745715","2.480484"," 0.93994265","1.896920","0.4429373","1.1572476"," 0.36526795","3.025126","1.670559","2.169923","3.229785","0.8103471","0.7899812","2.634455","1.537858","2.731178","2.694626","0.8051880"," 0.033810461","1.1105012"," 0.1183402920","-0.0140902965","1.751135","1.848095"," 0.208211344","1.0765350","1.418221","1.0038790","1.856047","1.0103436","2.077422","1.600865","0.03176206","1.0082525","3.603905","2.276297","3.155316","1.527957","0.8810457","1.1780044","0.8350000","1.1801938"," 1.50701048"," 0.666979896"," 0.3940603","-0.2454384858","3.011907","1.859305","1.783055","2.070095","1.996416","0.6170200","0.8882065"," 0.375554414","0.78326256","3.296111","3.090907"," 0.4300688","1.605280","0.8942509","2.793784","2.550327","2.091783","3.040737","0.3868584","1.584274","1.949394","-7.169005e-02","1.6414844"," 0.40293282","0.7084180","2.258123","0.8148771","0.8947183","1.437723","1.0088010","0.8509050","2.919163","3.329605","-0.314354431"," 0.5879577","0.3821948","0.7848430","0.6147947"," 0.154467645","2.350781","2.264554","0.7708098","2.166912","1.715845","1.3719971","2.712172","2.346062","2.193859","3.545962","-0.015622417","2.225649","1.914708","-0.007106380","0.7963760"
"30","C","1.875978"," 0.621745819","1.4490398"," 0.1263853459","1.2022273","1.762161","1.0853926","1.5053868","2.431074","1.740427"," 0.43495832"," 1.00326030","1.3063204","3.015263"," 1.41966209","2.476612","0.9480862","1.5915037"," 1.13735531","3.423338","2.097124","2.362878","3.677648","1.4339732","1.2184418","3.103502","1.946493","3.302253","3.279766","1.4693124"," 0.290470116","1.5413180"," 0.3497890934"," 0.8857839189","2.188060","2.192604"," 0.903694193","1.4811678","1.825364","1.4807748","2.287940","1.5047644","2.522788","2.014017","0.70691444","1.3894432","4.094720","2.585229","3.715370","1.728053","1.3280170","1.7846507","1.5370056","1.5176818"," 1.69985218"," 0.656694987"," 0.7829028","-0.3406339456","3.526654","2.359141","2.182886","2.350138","2.440819","1.3328319","1.1105412"," 0.630696469","0.90632752","3.807113","3.630265"," 0.5332751","1.678159","1.1526955","3.237988","2.879317","2.526217","2.691420","0.8252703","2.013654","2.358103"," 2.360236e-01","1.6750357"," 0.93602648","1.1589201","2.850918","1.2115039","1.4266564","1.587723","1.4658192","1.3071538","3.202318","3.757184"," 0.040763956"," 1.1128328","1.2356110","1.4974371","1.0765633"," 0.623922736","2.615143","3.623874","1.1788425","2.555812","2.239590","1.7914848","3.136605","2.864155","2.632575","4.030818"," 0.526544187","2.662444","2.359400"," 0.426869628","1.2757054"
